f1,f2,f3,f4,c
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
1,1,1,1,yes
